review_id,order_id,rating,review_text,review_date,helpful_count
REV_000055,ORD_001547,5,Perfect!,2024-09-09,47
REV_000099,ORD_000167,5,Amazing product!,2024-06-09,43
REV_000120,ORD_001838,2,Not great,2024-06-11,42
REV_000198,ORD_001271,4,Recommended,2024-12-21,22
REV_000294,ORD_001697,3,Meets expectations,2024-04-12,19
REV_000518,ORD_000832,2,Could be better,2023-02-18,30
REV_000540,ORD_001401,3,Fair,2024-09-02,23
REV_000556,ORD_000803,4,Solid quality,2024-02-12,16
REV_000562,ORD_000198,5,Amazing product!,2023-09-14,18
REV_000564,ORD_001180,3,Meets expectations,2024-04-21,25
REV_000604,ORD_001023,3,Meets expectations,2024-11-24,7
REV_000634,ORD_000012,5,Exceeded expectations!,2024-04-12,30
REV_000650,ORD_001804,5,Perfect!,2023-06-23,26
REV_000703,ORD_000810,4,Nice,2023-03-27,40
REV_000722,ORD_000635,3,Average,2024-12-31,9
REV_000750,ORD_001953,5,Amazing product!,2023-01-18,23
REV_000766,ORD_000818,3,It's okay,2023-04-24,50
REV_000852,ORD_001628,3,Meets expectations,2024-01-13,0
REV_000991,ORD_001933,1,Very disappointed,2024-06-24,42
REV_001031,ORD_001618,5,Perfect!,2023-02-06,25
REV_001077,ORD_000724,5,Excellent!,2024-12-05,25
REV_001179,ORD_000043,5,Excellent!,2024-08-28,16
REV_001182,ORD_000968,5,Perfect!,2024-04-17,42
REV_001196,ORD_000489,5,Perfect!,2024-10-09,13
REV_001247,ORD_000312,2,Not great,2023-04-23,7
REV_001249,ORD_000305,5,Exceeded expectations!,2023-02-12,48
REV_001273,ORD_001309,5,Amazing product!,2024-12-24,32
REV_001286,ORD_000473,5,Excellent!,2024-11-13,11
REV_001314,ORD_000155,4,Nice,2023-09-24,38
REV_001324,ORD_000184,5,Love it!,2023-06-27,19
REV_001375,ORD_000679,5,Excellent!,2024-08-02,15
REV_001412,ORD_000754,3,Fair,2024-10-12,3
REV_001464,ORD_001045,2,Could be better,2023-07-26,21
REV_001474,ORD_001224,5,Exceeded expectations!,2023-10-10,35
REV_001478,ORD_001979,4,Recommended,2023-09-07,15
REV_001496,ORD_001692,5,Love it!,2024-11-23,17
REV_001502,ORD_001693,3,Decent,2023-07-18,11
REV_001514,ORD_001647,1,Poor quality,2023-01-30,49
REV_001609,ORD_001177,5,Excellent!,2024-08-11,12
REV_001626,ORD_001984,4,Nice,2023-03-29,11
REV_001781,ORD_001337,1,Terrible,2024-01-29,7
REV_001939,ORD_000455,5,Excellent!,2024-06-12,10
REV_002008,ORD_001259,5,Love it!,2023-06-06,48
REV_002026,ORD_000479,5,Exceeded expectations!,2024-05-10,46
REV_002031,ORD_001765,4,Nice,2024-11-25,10
REV_002051,ORD_001651,4,Nice,2024-10-26,37
REV_002066,ORD_001843,5,Perfect!,2024-04-12,14
REV_002117,ORD_001096,3,It's okay,2023-08-27,5
REV_002182,ORD_000243,2,Not great,2023-04-12,19
REV_002277,ORD_000985,3,It's okay,2024-10-25,2
REV_002293,ORD_000970,4,Recommended,2024-11-19,14
REV_002540,ORD_000465,5,Amazing product!,2023-10-07,11
